DEPTH,CARB_FLAG,COAL_FLAG,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,SAND_FLAG,depth_m,OBG,OBG_inc,NCL,Mud,PP-3,PP-2.5,PP-2
1381.2012,,,149.278198,124.228698,0.51300001,1.11319994,1.6552,17.4699993,1.44910001,1.04709994,,1381.2012,0.35854471290355205,3629.527885593355,148.40737713194383,1961.6371922879998,1990.6563862324772,1985.8551557240073,1981.0398595524248
1381.3536,,,147.801605,125.219001,0.52139997,1.11259996,1.64680004,12.8796997,1.59860002,1.01279997,,1381.3536,0.35672513747665424,3629.884610730832,148.40092471410182,1961.8536368639998,1941.4801855095086,1944.8929599429275,1948.2988361301925
1381.506,,,141.745101,126.869499,0.49439999,1.10529994,1.63259994,8.2894001,1.38310003,1.05649995,,1381.506,0.35364915223154686,3630.238259883063,148.39447234660253,1962.0700814399997,1716.1197148432454,1759.4958240146198,1801.8889810842438
1381.6584,,,140.881103,128.244903,0.4605,1.11020004,1.62320005,3.69910001,1.29340004,1.03600001,,1381.6584,0.3516129748140897,3630.5898728578773,148.38802002944595,1962.2865260159997,1681.1344383864132,1731.0856514848672,1779.7569565403437
1381.8108,,,143.951095,125.494102,0.4722,1.11240005,1.62100005,2.04739999,1.22099995,1.06500005,,1381.8108,0.3511364170758177,3630.941009274953,148.38156776263213,1962.5029705919999,1803.661304540455,1831.1480882563774,1858.2214030999164
1381.9632,,,146.142501,123.3759,0.53079998,1.10000002,1.6308,2.35489988,1.12759995,1.04200005,,1381.9632,0.353259254351808,3631.294268529305,148.37511554616103,1962.7194151679998,1885.0728989832626,1898.2604756295227,1911.348458844598
1382.1156,,,150.568298,120.074897,0.54559999,1.1315,1.65289998,2.6624,1.04180002,0.98949998,,1382.1156,0.35804648911756093,3631.6523150184225,148.36866338003264,1962.935859744,2035.0069022234134,2023.2149403725925,2011.335889451665
1382.268,,,146.744293,121.917999,0.4979,1.42809998,1.70710003,2.93400001,0.9422,0.81489998,,1382.268,0.3697871496822107,3632.022102168105,148.36221126424698,1963.15230432,1907.3414654659657,1916.77123024157,1926.149437376977
1382.4204,,,144.616699,126.952003,0.43189999,1.35339999,1.75709998,2.83389997,1.43459999,1.09539997,,1382.4204,0.38061799653935297,3632.402720164644,148.35575919880407,1963.3687488959997,1830.5342953452118,1853.3857459715864,1875.9473925320613
1382.5728,,,142.543197,127.777297,0.47319999,1.15429997,1.76180005,2.76300001,1.47080004,0.94340002,,1382.5728,0.38163611232522576,3632.7843562769694,148.34930718370387,1963.5851934719997,1751.1932988364051,1788.3817524576912,1824.8351998844735
