Days	Qgas_mmscf	Whp_psig	
585	0.9863175	4226.017	
586	0.996885	4220.562	
587	0.996543	4215.623	
588	0.998448	4208.257	
589	0.983625	4202.721	
590	0.9869865	4196.067	
591	0.9861195	4189.633	
592	0.9831225	4183.746	
593	0.9794805	4177.998	
594	0.98058	4173.2	
595	0.9751425	4167.716	
596	0.97428	4161.44	
597	0.970296	4155.749	
598	0.9698505	4149.93	
599	0.89787	4196.21	
600	0.95811	4173.781	
601	0.9557415	4162.209	
602	0.954912	4154.716	
603	0.951279	4147.565	
604	0.9542865	4138.22	
605	0.950382	4133.879	
606	0.9304005	4124.352	
607	0.9446985	4114.948	
608	0.9487755	4105.785	
609	0.8982165	4119.085	
610	0.8446875	4137.902	
611	0.9313635	4100.84	
612	0.926412	4087.922	
613	0.9248055	4081.164	
614	0.923091	4073.516	
615	0.9207915	4067.526	
616	0.8163195	3819.006	
617	0.918987	4067.804	
618	0.9146055	4044.589	
619	0.912942	4038.972	
620	0.906921	4030.448	
621	0.915252	4021.252	
622	0.919767	4009.937	
623	0.8935995	3999.344	
624	0.848274	4002.317	
625	0.83844	4002.219	
626	0.822471	4000.256	
627	0.811599	4000.11	
628	0.7374765	4000.161	
629	0.7837905	4000.363	
630	0.7739055	4000.073	
631	0.6614985	4005.215	
632	0.7405935	4004.588	
633	0.6848025	4007.965	
634	0.656085	4008.013	
635	0.5768895	3830.48	
636	0.6894375	4040.584	
637	0.6916545	4017.832	
638	0.6896385	4009.33	
639	0.6874755	4001.136	
640	0.6858045	3997.38	
641	0.686043	3991.776	
642	0.3974595	4034.641	
643	0.69642	4088.916	
644	0.7838505	4022.091	
645	0.790647	3979.259	
646	0.787599	3964.085	
647	0.786825	3950.527	
648	0.7779075	3937.279	
649	0.784809	3920.13	
650	0.6936795	3539.197	
651	0.8225925	3908.967	
652	0.821859	3891.053	
653	0.822966	3878.65	
654	0.8015415	3866.395	
655	0.8157855	3855.335	
656	0.595545	3881.103	
657	0.567045	3705.36	
658	0.7044405	3937.85	
659	0.8071935	3873.835	
660	0.822405	3850.058	
661	0.8130825	3840.519	
662	0.818682	3827.354	
663	0.8041185	3815.186	
664	0.7973715	3807.504	
665	0.788001	3800.447	
666	0.7380735	3799.787	
667	0.7368075	3800.051	
668	0.7092675	3799.905	
669	0.7026345	3799.642	
670	0.5950815	3806.07	
671	0.6018675	3823.387	
672	0.615492	3827.024	
673	0.662232	3822.37	
674	0.6881655	3811.167	
675	0.689211	3805.215	
676	0.6768195	3801.711	
677	0.6593505	3800.365	
678	0.583317	3697.225	
679	0.6627645	3806.879	
680	0.704778	3794.867	
681	0.680319	3790.442	
682	0.695091	3786.674	
683	0.692037	3782.714	
684	0.690018	3780.473	
685	0.6635295	3775.618	
686	0.705072	3771.313	
687	0.696042	3765.697	
688	0.6779865	3760.07	
689	0.6703905	3755.831	
690	0.6658995	3750.721	
691	0.4420545	3741.812	
692	0.490164	3612.015	
693	0.6332865	3795.39	
694	0.6112035	3771.55	
695	0.606804	3764.995	
696	0.6075705	3762.999	
697	0.4968525	3763.603	
698	0.6659565	3807.708	
699	0.6583455	3776.845	
700	0.664926	3762.574	
701	0.6641415	3759.133	
702	0.6593145	3751.962	
703	0.6485955	3750.037	
704	0.6092625	3746.128	
705	0.653199	3741.39	
706	0.664938	3731.662	
707	0.660411	3725.126	
708	0.6566355	3718.989	
709	0.655248	3713.598	
710	0.6541095	3708.782	
711	0.436437	3716.577	
712	0.575607	3625.748	
713	0.629385	3675.989	
714	0.610029	3613.172	
715	0.6705615	3703.314	
716	0.6615915	3694.775	
717	0.664782	3689.963	
718	0.6694905	3684.545	
719	0.6591315	3680.399	
720	0.6641295	3675.122	
721	0.441966	3629.297	
722	0.590868	3498.587	
723	0.6166815	3661.114	
724	0.662556	3675.794	
725	0.5530815	3661.069	
726	0.485925	3669.74	
727	0.450237	3784.285	
728	0.631371	3731.884	
729	0.6300255	3682.408	
730	0.7005285	3673.594	
731	0.6398175	3665.895	
732	0.59229	3674.64	
733	0.6754485	3650.338	
734	0.719919	3636.771	
735	0.6969465	3624.6	
736	0.6818655	3617.053	
737	0.6332205	3612.754	
738	0.6103725	3614.731	
739	0.661641	3611.983	
740	0.6834	3602.118	
741	0.7010925	3602.118	
742	0.6985755	3578.806	
743	0.7226745	3570.511	
744	0.7225005	3558.127	
745	0.733254	3544.714	
746	0.775365	3534.849	
747	0.762288	3522.434	
748	0.746826	3511.013	
749	0.745428	3499.075	
750	0.745638	3490.964	
751	0.776814	3482.579	
752	0.742917	3473.92	
753	0.72978	3464.963	
754	0.7031325	3475.021	
755	0.7446675	3457.183	
756	0.7416555	3446.753	
757	0.7400505	3440.328	
758	0.7400115	3433.613	
759	0.742929	3423.578	
760	0.7594485	3384.779	
761	0.732966	3411.998	
762	0.732996	3408.175	
763	0.7302195	3402.689	
764	0.7297395	3396.151	
765	0.729612	3390.953	
766	0.728883	3385.624	
767	0.7273935	3378.667	
768	0.6177195	3380.95	
769	0.717981	3403.003	
770	0.7146285	3386.421	
771	0.7139655	3379.217	
772	0.7136385	3372.877	
773	0.7116795	3365.773	
774	0.794133	3357.412	
775	0.760038	3358.433	
776	0.887499	3318.962	
777	0.883827	3259.057	
778	0.925386	3237.459	
779	0.8305875	3214.932	
780	0.941652	3201.562	
781	0.881049	3184.823	
782	0.875649	3171.909	
783	0.862065	3163.932	
784	0.85698	3156.29	
785	0.8704275	3140.707	
786	0.872856	3127.938	
787	0.861732	3116.754	
788	0.855591	3110.228	
789	0.846801	3102.807	
790	0.8485785	3093.772	
791	0.845208	3084.785	
792	0.849756	3071.312	
793	0.708882	3132.701	
794	0.7587945	3140.142	
795	0.6841695	3038.508	
796	0.847728	3086.491	
797	0.82392	3063.186	
798	0.810924	3054.502	
799	0.5308605	3131.159	
800	0.547497	2955.671	
801	0.8683425	3104.509	
802	0.626115	3055.61	
803	0.6733635	3110.33	
804	0.822402	3117.706	
805	0.8641575	3052.511	
806	0.860982	3028.109	
807	0.862725	3009.347	
808	0.8647905	2993.751	
809	0.835914	2980.461	
810	0.876852	2971.768	
811	0.8697015	2954.535	
812	0.8788245	2935.878	
813	0.7348875	2928.729	
814	0.8646765	2970.725	
815	0.8421555	2938.914	
816	0.8599395	2921.281	
817	0.848562	2912.365	
818	0.8563425	2890.424	
819	0.891456	2895.721	
820	0.8854695	2859.476	
821	0.9037155	2839.499	
822	0.890076	2825.424	
823	0.8779515	2820.094	
824	0.8273025	2819.559	
825	0.896223	2822.507	
826	0.8453565	2799.85	
827	0.866313	2797.307	
828	0.889827	2783.847	
829	0.867864	2769.871	
830	0.866442	2762.59	
831	0.803244	2756.35	
832	0.8844015	2785.132	
833	0.867597	2744.39	
834	0.857706	2737.004	
835	0.8529315	2730.416	
836	0.8595645	2723.595	
837	0.8733825	2711.06	
838	0.7785765	2694.347	
839	0.857622	2641.851	
840	0.8447805	2700.389	
841	0.830301	2704.003	
842	0.829716	2699.893	
843	0.8440395	2689.788	
844	0.8360475	2681.644	
845	0.855204	2674.398	
846	0.8679285	2659.125	
847	0.887304	2635.443	
848	0.8809425	2618.647	
849	0.8500845	2611.826	
850	0.8400225	2620.944	
851	0.8685705	2610.857	
852	0.738951	2681.935	
853	0.870822	2617.981	
854	0.878571	2588.546	
855	0.865857	2589.086	
856	0.866298	2572.33	
857	0.874164	2561.745	
858	0.887427	2539.453	
859	0.846756	2526.261	
860	0.8274465	2567.904	
861	0.8494485	2520.296	
862	0.828123	2523.074	
863	0.860532	2518.859	
864	0.848163	2501.453	
865	0.833151	2509.014	
866	0.8162175	2512.72	
867	0.8083095	2516.83	
868	0.862413	2489.737	
869	0.831366	2484.37	
870	0.8262135	2483.326	
871	0.8346375	2476.169	
872	0.8429685	2466.672	
873	0.853833	2458.571	
874	0.8398905	2448.006	
875	0.846147	2435.479	
876	0.846492	2429.136	
877	0.796053	2421.469	
878	0.805899	2438.229	
879	0.8294955	2419.308	
880	0.8152185	2422.271	
881	0.8547915	2395.701	
882	0.849369	2385.481	
883	0.84105	2377.071	
884	0.815499	2376.504	
885	0.8423685	2377.704	
886	0.800439	2380.767	
887	0.8065065	2378.599	
888	0.831975	2361.613	
889	0.8260365	2349.813	
890	0.7918815	2361.317	
891	0.8222805	2350.442	
892	0.8226	2340.332	
893	0.8143155	2334.218	
894	0.824289	2323.542	
895	0.800454	2328.501	
896	0.8174055	2315.959	
897	0.809628	2315.24	
898	0.8466045	2290.009	
899	0.8453175	2273.916	
900	0.8225115	2273.642	
901	0.816249	2273.321	
902	0.8084115	2270.907	
903	0.755781	2267.458	
904	0.770247	2150.078	
905	0.8058705	2275.816	
906	0.837996	2250.179	
907	0.873789	2207.99	
908	0.889503	2184.354	
909	0.891582	2162.557	
910	0.8898585	2144.588	
911	0.889965	2129.131	
912	0.891585	2112.469	
913	0.885831	2101.656	
914	0.8854395	2093.004	
915	0.8818005	2081.763	
916	0.8843415	2071.319	
917	0.882888	2060.675	
918	0.8788395	2054.125	
919	0.87528	2046.742	
920	0.875232	2038.908	
921	0.876042	2033.022	
922	0.8721165	2026.057	
923	0.876852	2021.542	
924	0.8837385	2002.368	
925	0.850587	2015.826	
926	0.87357	2002.368	
927	0.867306	1991.97	
928	0.8715885	1983.754	
929	0.866655	1975.782	
930	0.87117	1965.304	
931	0.86901	1959.201	
932	0.8660265	1948.953	
933	0.8666505	1942.511	
934	0.863565	1938.926	
935	0.8628765	1934.214	
936	0.868668	1925.569	
937	0.86178	1919.111	
938	0.86619	1910.185	
939	0.868329	1898.503	
940	0.76863	1892.352	
941	0.779943	1802.171	
942	0.856887	1920.861	
943	0.862692	1901.43	
944	0.8564925	1891.618	
945	0.8581065	1879.839	
946	0.8679945	1865.937	
947	0.8653785	1857.571	
948	0.861174	1846.402	
949	0.8678535	1834.42	
950	0.8689875	1821.952	
951	0.867237	1815.524	
952	0.8623695	1804.845	
953	0.870489	1793.937	
954	0.8630685	1782.14	
955	0.8665755	1776.317	
956	0.8635845	1767.056	
957	0.868821	1753.461	
958	0.86142	1748.885	
959	0.8626995	1738.713	
960	0.864294	1728.3	
961	0.8670045	1717.23	
962	0.8640675	1710.239	
963	0.8655045	1701.078	
964	0.865413	1690.201	
965	0.8577945	1679.773	
966	0.8647725	1669.005	
967	0.8635335	1659.535	
968	0.8652195	1650.329	
969	0.86265	1639.079	
970	0.864744	1628.155	
971	0.8665605	1619.702	
972	0.8661495	1609.413	
973	0.8642385	1596.361	
974	0.905496	1594.311	
975	0.8571105	1578.47	
976	0.8489835	1565.822	
977	0.859014	1555.997	
978	0.870894	1542.617	
979	0.8542065	1533.014	
980	0.8693325	1520.816	
981	0.8696745	1511.771	
982	0.86862	1502.12	
983	0.8678055	1489.706	
984	0.8658465	1475.579	
985	0.8682375	1466.956	
986	0.8725845	1453.307	
987	0.866892	1441.014	
988	0.8715225	1430.997	
989	0.8762145	1419.366	
990	0.8843715	1408.306	
991	0.8739195	1395.454	
992	0.8754165	1385.106	
993	0.8785035	1373.704	
994	0.878892	1359.496	
995	0.884724	1346.648	
996	0.8774025	1335.015	
997	0.8816865	1320.33	
998	0.8831265	1307.144	
999	0.8737185	1297.692	
1000	0.877422	1285.957	
1001	0.8904795	1271.638	
1002	0.873594	1263.298	
1003	0.8744595	1257.695	
1004	0.868701	1260.406	
1005	0.8589915	1247.391	
1006	0.864069	1242.572	
1007	0.8839185	1212.04	
1008	0.85548	1219.475	
1009	0.8532945	1216.786	
1010	0.845889	1207.783	
1011	0.845235	1208.702	
1012	0.834681	1208.146	
